"CODIGO";"COD_EMPRESA";"CATEGORIA";"PRECO_EMBALAGEM_0";"PERC_DESCTO_ADICIONAL_EMBALAGEM_0";"PRECO_EMBALAGEM_1";"PRECO_EMBALAGEM_2"
"125596";"6";"LOJA";"1066,8";"0,0000";"5079,9";"24130,05"
"125596";"7";"LOJA";"1196,895";"63,3389";"5701,395";"27068,895"
"125596";"8";"LOJA";"1154,895";"0,0000";"5501,895";"26123,895"
"125596";"9";"LOJA";"1175,895";"0,0000";"0";"0"
"125596";"92";"CD";"1066,8";"0,0000";"0";"0"
"127181";"1";"LOJA";"13,545";"0,0000";"246,645";"1165,395"
"127181";"2";"LOJA";"12,495";"0,0000";"227,745";"1081,395"
"127181";"3";"LOJA";"13,545";"31,0100";"246,645";"1165,395"
"127181";"4";"LOJA";"12,495";"0,0000";"227,745";"1081,395"
"127181";"5";"LOJA";"13,545";"0,0000";"246,645";"1165,395"
"127181";"6";"LOJA";"13,545";"0,0000";"246,645";"1165,395"
"127181";"7";"LOJA";"13,545";"0,0000";"246,645";"1165,395"
"127181";"8";"LOJA";"13,545";"0,0000";"246,645";"1165,395"
"127181";"9";"LOJA";"13,545";"31,0100";"246,645";"1165,395"
"127181";"92";"CD";"12,495";"0,0000";"227,745";"1081,395"
"127181";"93";"CD";"12,495";"0,0000";"227,745";"1081,395"
"127312";"1";"LOJA";"198,45";"0,0000";"944,895";"4483,395"
"127312";"2";"LOJA";"198,45";"0,0000";"944,895";"4483,395"
"127312";"3";"LOJA";"198,45";"10,1058";"944,895";"4483,395"
"127312";"4";"LOJA";"198,45";"0,0000";"944,895";"4483,395"
"127312";"5";"LOJA";"198,45";"0,0000";"944,895";"4483,395"
"127312";"6";"LOJA";"198,45";"0,0000";"944,895";"4483,395"
"127312";"7";"LOJA";"198,45";"0,0000";"944,895";"4483,395"
"127312";"8";"LOJA";"198,45";"0,0000";"944,895";"4483,395"
"127312";"9";"LOJA";"198,45";"10,1058";"944,895";"4483,395"
"127312";"92";"CD";"198,45";"0,0000";"944,895";"4483,395"
"127312";"93";"CD";"198,45";"0,0000";"944,895";"4483,395"
"12901";"1";"LOJA";"131,145";"0,0000";"";""
"12901";"2";"LOJA";"364,245";"0,0000";"";""
"12901";"3";"LOJA";"440,895";"0,0000";"";""
"12901";"4";"LOJA";"364,245";"0,0000";"";""
"12901";"5";"LOJA";"458,745";"0,0000";"";""
"12901";"6";"LOJA";"409,5";"0,0000";"";""
"12901";"7";"LOJA";"409,5";"0,0000";"";""
"12901";"8";"LOJA";"409,5";"0,0000";"";""
"12901";"9";"LOJA";"440,895";"0,0000";"";""
"12901";"92";"CD";"364,245";"0,0000";"";""
"133332";"1";"LOJA";"1091,895";"0,0000";"";""
"133332";"2";"LOJA";"1049,895";"0,0000";"";""
"133332";"3";"LOJA";"1049,895";"0,0000";"";""
"133332";"4";"LOJA";"1049,895";"0,0000";"";""
"133332";"5";"LOJA";"1049,895";"0,0000";"";""
"133332";"6";"LOJA";"1049,895";"0,0000";"";""
"133332";"7";"LOJA";"1049,895";"0,0000";"";""
"133332";"8";"LOJA";"1049,895";"0,0000";"";""
"133332";"9";"LOJA";"1049,895";"0,0000";"";""
"133332";"92";"CD";"1049,895";"0,0000";"";""
"133332";"93";"CD";"1049,895";"0,0000";"";""
"138854";"1";"LOJA";"2519,895";"0,0000";"";""
"138854";"2";"LOJA";"2519,895";"0,0000";"";""
"138854";"3";"LOJA";"2519,895";"0,0000";"";""
"138854";"4";"LOJA";"2519,895";"0,0000";"";""
"138854";"5";"LOJA";"2519,895";"0,0000";"";""
"138854";"6";"LOJA";"2519,895";"0,0000";"";""
"138854";"7";"LOJA";"2519,895";"0,0000";"";""
"138854";"8";"LOJA";"2519,895";"0,0000";"";""
"138854";"9";"LOJA";"2519,895";"0,0000";"";""
"138854";"92";"CD";"2519,895";"0,0000";"";""
"138854";"93";"CD";"2519,895";"0,0000";"";""
"141870";"1";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"2";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"3";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"4";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"5";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"6";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"7";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"8";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"9";"LOJA";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"92";"CD";"187,95";"0,0000";"1711,395";"8126,895"
"141870";"93";"CD";"187,95";"0,0000";"1711,395";"8126,895"
"14539";"1";"LOJA";"267,645";"0,0000";"1270,395";"6037,395"
"14539";"2";"LOJA";"217,245";"0,0000";"1035,195";"4913,895"
"14539";"3";"LOJA";"250,845";"0,0000";"1196,895";"5669,895"
"14539";"4";"LOJA";"217,245";"0,0000";"1035,195";"4913,895"
"14539";"5";"LOJA";"245,595";"0,0000";"1165,395";"5554,395"
"14539";"6";"LOJA";"217,245";"0,0000";"1035,195";"4913,895"
"14539";"7";"LOJA";"228,795";"0,0000";"1091,895";"5176,395"
"14539";"8";"LOJA";"208,95";"0,0000";"995,4";"4726,05"
"14539";"9";"LOJA";"250,845";"0,0000";"1196,895";"5669,895"
"14539";"92";"CD";"208,95";"0,0000";"0";"0"
"14540";"1";"LOJA";"95,445";"0,0000";"868,245";""
"14540";"2";"LOJA";"103,95";"0,0000";"944,895";""
"14540";"3";"LOJA";"93,45";"0,0000";"850,395";""
"14540";"4";"LOJA";"103,95";"0,0000";"944,895";""
"14540";"5";"LOJA";"103,95";"0,0000";"944,895";""
"14540";"6";"LOJA";"103,95";"0,0000";"944,895";""
"14540";"7";"LOJA";"95,445";"0,0000";"868,245";""
"14540";"8";"LOJA";"103,95";"0,0000";"944,895";""
"14540";"9";"LOJA";"93,45";"0,0000";"850,395";""
"14540";"92";"CD";"103,95";"0,0000";"944,895";""
"14540";"93";"CD";"91,245";"0,0000";"829,5";""
"146216";"1";"LOJA";"791,595";"0,0000";"3769,395";"17902,395"
"146216";"2";"LOJA";"844,095";"0,0000";"4021,395";"19088,895"
"146216";"3";"LOJA";"731,745";"0,0000";"3485,895";"16558,395"
"146216";"4";"LOJA";"844,095";"0,0000";"4021,395";"19088,895"
"146216";"5";"LOJA";"768,495";"0,0000";"3664,395";"17387,895"
"146216";"6";"LOJA";"824,145";"0,0000";"3926,895";"18647,895"
"146216";"7";"LOJA";"845,145";"0,0000";"4021,395";"19120,395"
"146216";"8";"LOJA";"823,095";"0,0000";"3916,395";"18616,395"
"146216";"9";"LOJA";"746,445";"0,0000";"3559,395";"16883,895"
"146216";"92";"CD";"654,15";"0,0000";"0";"0"
"146361";"1";"LOJA";"104,895";"0,0000";"382,095";"1816,395"
"146361";"2";"LOJA";"104,895";"20,0200";"382,095";"1816,395"
"146361";"3";"LOJA";"98,595";"0,0000";"358,995";"1700,895"
"146361";"4";"LOJA";"104,895";"20,0200";"382,095";"1816,395"
"146361";"5";"LOJA";"100,695";"16,6840";"366,345";"1742,895"
"146361";"6";"LOJA";"110,145";"23,8322";"400,995";"1900,395"
"146361";"7";"LOJA";"115,395";"0,0000";"419,895";"1994,895"
"146361";"8";"LOJA";"98,595";"0,0000";"358,995";"1700,895"
"146361";"9";"LOJA";"98,595";"14,9095";"358,995";"1700,895"
"146361";"92";"CD";"94,395";"0,0000";"343,245";"1627,395"
"146364";"1";"LOJA";"98,595";"0,0000";"358,995";"1700,895"
"146364";"2";"LOJA";"102,795";"0,0000";"373,695";"1774,395"
"146364";"3";"LOJA";"94,395";"0,0000";"343,245";"1627,395"
"146364";"4";"LOJA";"102,795";"0,0000";"373,695";"1774,395"
"146364";"5";"LOJA";"98,595";"0,0000";"358,995";"1700,895"
"146364";"6";"LOJA";"108,045";"0,0000";"393,645";"1868,895"
"146364";"7";"LOJA";"115,395";"0,0000";"419,895";"1994,895"
"146364";"8";"LOJA";"98,595";"0,0000";"358,995";"1700,895"
"146364";"9";"LOJA";"94,395";"0,0000";"343,245";"1627,395"
"146364";"92";"CD";"94,395";"0,0000";"343,245";"1627,395"
"146390";"1";"LOJA";"669,795";"21,7746";"3044,895";""
"146390";"2";"LOJA";"648,795";"19,2426";"2950,395";""
"146390";"3";"LOJA";"589,995";"11,1942";"2677,395";""
"146390";"4";"LOJA";"648,795";"19,2426";"2950,395";""
"146390";"5";"LOJA";"652,995";"19,7620";"2971,395";""
"146390";"6";"LOJA";"633,045";"0,0000";"2876,895";""
"146390";"7";"LOJA";"698,145";"0,0000";"3170,895";""
"146390";"8";"LOJA";"592,095";"11,5091";"2687,895";""
"146390";"9";"LOJA";"589,995";"11,1942";"2677,395";""
"146390";"92";"CD";"555,45";"0,0000";"2525,25";""
"146397";"1";"LOJA";"141,645";"0,0000";"0";""
"146397";"2";"LOJA";"146,895";"0,0000";"0";""
"146397";"3";"LOJA";"133,245";"0,0000";"484,995";""
"146397";"4";"LOJA";"146,895";"0,0000";"0";""
"146397";"5";"LOJA";"141,645";"0,0000";"515,445";""
"146397";"6";"LOJA";"152,145";"0,0000";"553,245";""
"146397";"7";"LOJA";"162,645";"0,0000";"592,095";""
"146397";"8";"LOJA";"146,895";"0,0000";"0";""
"146397";"9";"LOJA";"133,245";"0,0000";"484,995";""
"146397";"92";"CD";"135,45";"0,0000";"0";""
"146398";"1";"LOJA";"141,645";"0,0000";"0";""
"146398";"2";"LOJA";"146,895";"12,1515";"534,345";""
"146398";"3";"LOJA";"130,095";"0,0000";"473,445";""
"146398";"4";"LOJA";"146,895";"0,0000";"534,345";""
"146398";"5";"LOJA";"141,645";"0,0000";"515,445";""
"146398";"6";"LOJA";"152,145";"0,0000";"553,245";""
"146398";"7";"LOJA";"162,645";"0,0000";"592,095";""
"146398";"8";"LOJA";"146,895";"0,0000";"0";""
"146398";"9";"LOJA";"124,95";"0,0000";"454,545";""
"146398";"92";"CD";"135,45";"0,0000";"0";""
"146400";"1";"LOJA";"200,445";"0,0000";"729,645";""
"146400";"2";"LOJA";"187,95";"0,0000";"683,445";""
"146400";"3";"LOJA";"130,095";"0,0000";"473,445";""
"146400";"4";"LOJA";"187,95";"0,0000";"683,445";""
"146400";"5";"LOJA";"141,645";"0,0000";"515,445";""
"146400";"6";"LOJA";"152,145";"0,0000";"553,245";""
"146400";"7";"LOJA";"156,45";"0,0000";"568,995";""
"146400";"8";"LOJA";"141,645";"0,0000";"0";""
"146400";"9";"LOJA";"130,095";"0,0000";"473,445";""
"146400";"92";"CD";"135,45";"0,0000";"0";""
"146401";"1";"LOJA";"141,645";"0,0000";"539,595";"2561,895"
"146401";"2";"LOJA";"135,45";"0,0000";"515,55";"2448,6"
"146401";"3";"LOJA";"130,095";"0,0000";"495,495";"2351,895"
"146401";"4";"LOJA";"135,45";"0,0000";"515,55";"2448,6"
"146401";"5";"LOJA";"141,645";"11,1193";"539,595";"2561,895"
"146401";"6";"LOJA";"152,145";"0,0000";"579,495";"2750,895"
"146401";"7";"LOJA";"162,645";"22,5952";"620,445";"2939,895"
"146401";"8";"LOJA";"141,645";"0,0000";"539,595";"2561,895"
"146401";"9";"LOJA";"130,095";"0,0000";"495,495";"2351,895"
"146401";"92";"CD";"135,45";"0,0000";"2456,895";"0"
"149054";"1";"LOJA";"103,95";"0,0000";"944,895";"4483,395"
"149054";"2";"LOJA";"103,845";"0,0000";"944,895";"4483,395"
"149054";"3";"LOJA";"126,945";"0,0000";"1154,895";"5480,895"
"149054";"4";"LOJA";"103,845";"0,0000";"944,895";"4483,395"
"149054";"5";"LOJA";"103,845";"0,0000";"944,895";"4483,395"
"149054";"6";"LOJA";"104,895";"0,0000";"954,345";"4535,895"
"149054";"7";"LOJA";"98,595";"0,0000";"896,595";"4262,895"
"149054";"8";"LOJA";"103,95";"0,0000";"944,895";"4483,395"
"149054";"9";"LOJA";"126,945";"0,0000";"1154,895";"5480,895"
"149054";"92";"CD";"99,645";"0,0000";"906,045";"4304,895"
