"CODIGO";"DIGITO";"DESCRICAO";"NIVEL_1";"NIVEL_2";"NIVEL_3";"EMBALAGEM_FORNECEDOR";"EMBALAGEM_COMPRA";"CONVERSAO_COMPRA_ARMAZENAGEM";"UNIDADE_ESTOQUE";"EMBALAGEM_VENDA_0";"EMBALAGEM_VENDA_1";"EMBALAGEM_VENDA_2";"CD_VOLTAGEM"
"408816";"6";"ORGANIZADOR TAMPA COZ.       PT 0085";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDP - ORGANIZADORES DE COZINHA";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"408905";"7";"COND.SPLIT  9000 EVAP.S4NQ09 INV. 23";"D - ELETROS";"DA - AR E VENTILACAO";"DAQ - AR CONDICIONADO SPLIT INVERTER";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"408910";"3";"COND.SPLIT  9000 COND.S4UQ09 INV. 23";"D - ELETROS";"DA - AR E VENTILACAO";"DAQ - AR CONDICIONADO SPLIT INVERTER";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"409091";"8";"MESA SALA 1.80X0.90 C/VD     CAT/OFF";"O - MOVEIS";"OA - SALA DE ESTAR E JANTAR";"OAL - MESAS DE JANTAR";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"409247";"3";"LUSTRE LED 3EM1 35W  CR   LP-01 3014";"I - ILUMINACAO";"IB - RESIDENCIAL";"IBA - LUSTRES E PENDENTES";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-3-UN";"EB-9-UN";"0"
"409415";"8";"MESA 1.35X0.90 CJ/04CAD.CS/OFF   133";"O - MOVEIS";"OA - SALA DE ESTAR E JANTAR";"OAK - CONJUNTOS DE MESAS E CADEIRAS";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"409419";"0";"MESA SALA 1.10 RED C/VD      CAT/OFF";"O - MOVEIS";"OA - SALA DE ESTAR E JANTAR";"OAL - MESAS DE JANTAR";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"409654";"1";"LAMP.LED  FIL.P125 AB 4W AM E27 MBIV";"I - ILUMINACAO";"IA - LAMPADAS";"IAA - LAMPADAS LED";"CX-10-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-10-UN";"EB-50-UN";"3"
"41038";"1";"TANQUE S/FIXACAO 65X56 GG  5126 BR01";"W - LOUCAS E PIAS";"WC - TANQUES";"WCA - TANQUES DE LOUCAS";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"410730";"6";"PISO FELP.CHARME 50X70        AM 189";"K - CAMA, MESA E BANHO";"KC - BANHO";"KCC - TOALHAS DE PISO";"CX-120-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
