CODIGO,correlacao_preco_volume,n_obs,DESCRICAO,NIVEL_1,receita_total
460475,-0.4893654382818137,72.0,RODAPE CLA.10CM    LISO/BR 2.40ML/UN,C - PISOS E REVESTIMENTOS,120319.92
410926,-0.4892200605960278,203.0,SUPORTE XICARA CAFE          PT 0088,B - UTILIDADES DOMESTICAS,65375.310000000005
304374,-0.4876433107010495,57.0,CABIDE CR C33             POLO  2060,U - METAIS E ACESSORIOS,45078.915
480278,-0.4876035066747861,49.0,COND.SPLIT 12000 COND.GWC12  INV.182,D - ELETROS,2556840.946785911
444979,-0.4868813222525978,130.0,TOALHA PRAIA 80X160 IBIZA BR/AZ 1450,"K - CAMA, MESA E BANHO",112657.14600000001
430404,-0.4867213955430135,17.0,"REVEST.A 30X90 URBAN.PARK.GRAY1,07M2",C - PISOS E REVESTIMENTOS,17549.11494
481381,-0.48561290195209195,126.0,ARAND.LED SOB. SIERRA  4W BR AM MBIV,I - ILUMINACAO,115653.72
464211,-0.484145199090793,65.0,TOALHA BANHAO VERONA          BR 004,"K - CAMA, MESA E BANHO",11643.24
459077,-0.4834694012447616,147.0,TOALHA BNH SKY IPE ROSA         3610,"K - CAMA, MESA E BANHO",19573.995
429455,-0.48311510096507376,202.0,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,1299370.493865492
346310,-0.4830541399588358,53.0,ASPIRADOR PO/LIQ.PROF.GTW IX 20L 220,M - MAQUINAS E MOTORES,129112.62000000001
467657,-0.48293433917033696,120.0,AP.JANTAR CER.12PC COLB    PT 137404,B - UTILIDADES DOMESTICAS,287221.484375
421706,-0.48270170486164105,10.0,"REVEST.A 37X74 MP37090     RT 1,92M2",C - PISOS E REVESTIMENTOS,7620.4800000000005
356185,-0.48205626340233987,43.0,CANECA CER.220ML        AM A213-0654,B - UTILIDADES DOMESTICAS,8279.3025
432432,-0.48202269597283287,14.0,BALCAO COZ.0.80 2P     OFW3600001602,O - MOVEIS,11504.744999999999
451452,-0.4818797704855422,122.0,GARRAFA AGUA VID.1.0L C/T     016161,B - UTILIDADES DOMESTICAS,13839.11025
480557,-0.4816572477930387,42.0,COND.SPLIT 18000 COND.GWC18  INV.185,D - ELETROS,979561.3005863636
263337,-0.4814740079252144,35.0,"LIQUID.INDL 4,0L 1/2HP  LS04MBN M220",N - INDUSTRIAL E NEGOCIOS,69778.8
430405,-0.4803569747266207,20.0,"REVEST.A 30X90 WHITE PARK.MAT 1,07M2",C - PISOS E REVESTIMENTOS,39461.52189
269039,-0.4802550539470275,17.0,CX.ACOPL UNIVER.CD00F DUA.VERDE MV60,W - LOUCAS E PIAS,4312.98
468307,-0.4794254915607226,74.0,LENCOL JG CASAL DPL CRYSTAL   RISQUE,"K - CAMA, MESA E BANHO",42194.670000000006
472108,-0.4790933410507964,72.0,PRATO RASO CER.26CM           127737,B - UTILIDADES DOMESTICAS,33831.1365
480556,-0.4787679272528979,42.0,COND.SPLIT 18000 EVAP.GWC18  INV.185,D - ELETROS,527417.6073318182
392069,-0.47753138431937703,138.0,ESCORREDOR PRATO PLS        CZ 10848,B - UTILIDADES DOMESTICAS,120762.243
472196,-0.4769359620930062,23.0,PRATO FUND.CER.21CM           061376,B - UTILIDADES DOMESTICAS,6285.41025
