COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
4,141870,0.0,50.0,0.0684931506849315,0.0,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Recife,PE
5,141870,0.0,21.0,0.028767123287671233,0.0,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Aracaju,SE
6,141870,1.0,29.0,0.03972602739726028,25.172413793103445,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Joao Pessoa,PB
7,141870,1.0,15.0,0.02054794520547945,48.66666666666667,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Natal,RN
8,141870,2.0,18.0,0.024657534246575342,81.11111111111111,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Caruaru,PE
9,141870,0.0,9.0,0.012328767123287671,0.0,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Salvador,BA
92,141870,0.0,0.0,0.0,,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Cabo De Santo Agostinho,PE
93,141870,0.0,0.0,0.0,,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Alhandra,PB
1,14539,0.0,7.0,0.009589041095890411,0.0,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,Garanhuns,PE
2,14539,6.0,11.0,0.015068493150684932,398.1818181818182,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,Recife,PE
3,14539,7.0,2.0,0.0027397260273972603,2555.0,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,Salvador,BA
4,14539,5.0,12.0,0.01643835616438356,304.1666666666667,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,Recife,PE
5,14539,3.0,4.0,0.005479452054794521,547.5,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,Aracaju,SE
6,14539,0.0,4.0,0.005479452054794521,0.0,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,Joao Pessoa,PB
7,14539,1.0,3.0,0.00410958904109589,243.33333333333337,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,Natal,RN
