CODIGO,DESCRICAO,NIVEL_1,estoque_parado_total,lojas_com_estoque_parado,receita,qtd_vendida
200640,BACIA P/CX.RAVENA P909     CR37 CREM,W - LOUCAS E PIAS,16.0,5,31442.565,40.0
470327,PORTA-SHAMPOO BOX      BR     OR0173,U - METAIS E ACESSORIOS,16.0,1,112105.665,1733.0
403413,FITA LED 5M  IP20 5W/M   NE IR70 12V,I - ILUMINACAO,16.0,2,72667.875,629.0
407150,PORTA-BOLO IX 32CM C/TP     1525/499,B - UTILIDADES DOMESTICAS,16.0,3,1515.9585000000002,24.0
397052,FILTRO GABINETE PLS.DUE IMM. BR M220,D - ELETROS,16.0,6,30691.710000000003,35.0
465826,"LIQUID.INDL 2,0L BAIXA ROT.LS02 MBIV",N - INDUSTRIAL E NEGOCIOS,16.0,4,35751.765,26.0
456655,COND.SPLIT  9000 COND.S4UQ09 INV.118,D - ELETROS,16.0,3,21381.612,17.0
125596,CUBA LOC.APOIO 50X38 AGUA 61077 BR01,W - LOUCAS E PIAS,16.0,8,14520.135,21.0
374297,ARMARIO AEREO1 PCLASS CANTO BR516444,O - MOVEIS,16.0,5,28869.645,82.0
373841,"PIA IX    1C 1,50   FC S/V 93042/526",W - LOUCAS E PIAS,16.0,4,73996.545,131.0
472885,LUSTRE LED 115W AM   MR LP-800M 5916,I - ILUMINACAO,16.0,5,105419.4645,51.0
460149,FONDUE PORC.CHOC/QUEIJO 04PC   17902,B - UTILIDADES DOMESTICAS,16.0,3,7388.808000000001,114.0
466942,TV LED 86 UHD SMT 4K     86UR8750PSA,R - ELETRONICOS,16.0,9,1670850.848625,198.0
438881,ARMARIO AEREO 0.80 1P         FRJ/GRAF,O - MOVEIS,16.0,5,29385.195,92.0
464362,ORGANIZADOR COLMEIA 35X12   RS OL950,B - UTILIDADES DOMESTICAS,16.0,1,16352.6475,562.0
200320,BACIA SNT.ASPEN P75       CREME CR37,W - LOUCAS E PIAS,15.0,7,10224.9,33.0
460610,ALMOFADA 40X40 FUTTON    ARDOSIA 165,V - DECORACAO,15.0,2,14898.87,326.0
462136,ESMERILHA.ANG 5 700W GWS 180-LI  BIV,F - FERRAMENTAS,15.0,3,45480.498,43.0
456654,COND.SPLIT  9000 EVAP.S4NQ09 INV.118,D - ELETROS,15.0,3,8041.299,11.0
430290,PANELEIRO 70CM 2P/3G  FRJ/GRF 500344,O - MOVEIS,15.0,5,122408.37,88.0
451906,COND.SPLIT 18000 COND ATUW18 INV.106,D - ELETROS,15.0,4,76849.668,15.0
183176,ADAPTA.P/MAQ.LAVAR LOUCA         AML,H - TUBOS E CONEXOES,15.0,1,39630.71,1939.0
450859,TOALHA RST RAVENNA ESSENCIAL AZ 2533,"K - CAMA, MESA E BANHO",15.0,1,14075.985,443.0
451905,COND.SPLIT 18000 EVAP ATNW18 INV.106,D - ELETROS,15.0,4,51129.414,15.0
467559,TV LED 77 HDR SMT 4K OLED QN77S90CAG,R - ELETRONICOS,15.0,6,234491.397,15.0
462452,COLCHA QUEEN+P.TRAV 3PC SIENA     BR,"K - CAMA, MESA E BANHO",15.0,2,32292.645,171.0
462921,COLCHA KING+P.TRAV 3PC JASMINE  AZ.P,"K - CAMA, MESA E BANHO",15.0,2,24090.0555,144.0
371732,JANE.AL 2F TROP. A100XL080    VC NAT,"G - PORTAS, JANELAS E FECHADURAS",15.0,2,2391.48,15.0
464888,BOMBA VIBRATORIA SAPPO ECO FIT  M127,M - MAQUINAS E MOTORES,14.0,1,28113.75,70.0
200138,CX.ACOPL UNIVER.CD00F DUA.EBANO EB95,W - LOUCAS E PIAS,14.0,3,27587.91,78.0
443790,"TINT.ACR.SELPIN.GES FC 18,0L BR.NEVE",S - TINTAS E QUIMICOS,14.0,2,133537.635,323.0
436810,COIFA 90CM PRD. SLIM TP1192PT   M220,D - ELETROS,14.0,6,27193.53,15.0
456354,PRANCHA BODYBOARD MEDIA   SORT 31000,"L - INFANTIL, LAZER E PETS",14.0,1,57401.953,498.0
462917,COLCHA SOLTE+P.TRAV 2PC JASMINE AZ.P,"K - CAMA, MESA E BANHO",14.0,2,18800.88,177.0
330064,CUBA LOC.SOB.QUAD.L735          BR17,W - LOUCAS E PIAS,14.0,7,17744.370000000003,19.0
381435,PORTA AL LAMBRI 210X171D VQ 2B    BR,"G - PORTAS, JANELAS E FECHADURAS",14.0,4,15714.079500000002,7.0
169185,COLUNA SUSP.FIT           66202 PG59,W - LOUCAS E PIAS,14.0,8,2747.325,8.0
267049,CUBA LOC.SOB/AP.41X34 Q7 173045 BR01,W - LOUCAS E PIAS,14.0,4,16089.990000000002,25.0
430301,BALCAO COZ.0.80 1P/1G FRJ/GRF 500342,O - MOVEIS,14.0,6,40713.3825,55.0
302231,"PICHE EXTRA                     0,9L",S - TINTAS E QUIMICOS,14.0,2,19728.24,316.0
461951,VITRINE VER 1P 300L SLIM  VV300 M220,N - INDUSTRIAL E NEGOCIOS,14.0,7,112980.525,23.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,14.0,7,2364.1800000000003,26.0
466583,COLCHA SOLTE+P.TRAV 2PC PARIS SORT16,"K - CAMA, MESA E BANHO",14.0,1,49637.07,554.0
401597,BEBED.MES.PLS BC21B          BR M220,D - ELETROS,14.0,1,232789.221,236.0
458850,TAPETE ENTR. 45X70 C/FRANJA    CORAL,V - DECORACAO,14.0,2,15035.895,541.0
428128,IMPERMEAB. CIMENTO ELASTICO      4KG,S - TINTAS E QUIMICOS,14.0,2,65971.92,224.0
365931,PORTA AL LAMBRI 210X121D VQ 1B    BR,"G - PORTAS, JANELAS E FECHADURAS",14.0,4,27151.845,15.0
6143,BACIA SNT.SAVEIRO          0230 PR77,W - LOUCAS E PIAS,13.0,4,11703.825,50.0
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,13.0,5,19592.895,25.0
430375,REFRIG. 2P 410L FF    CRM50 BR M220,D - ELETROS,13.0,4,44416.68,12.0
455255,FILTRO GABINETE PLS.   PC41B BR M220,D - ELETROS,13.0,3,15536.745000000004,13.0
464288,PASSADEIRA 060X180 BERLIM      SORT8,V - DECORACAO,13.0,2,23693.355,309.0
263337,"LIQUID.INDL 4,0L 1/2HP  LS04MBN M220",N - INDUSTRIAL E NEGOCIOS,13.0,5,69778.8,53.0
265147,TANQUE SINT.SPL 055X042 CZ REAL,W - LOUCAS E PIAS,13.0,3,29683.5,93.0
462443,COLCHA CASAL+P.TRAV 3PC SIENA     BR,"K - CAMA, MESA E BANHO",13.0,2,23470.965,147.0
440179,JARRA VID.1.3L                 35637,B - UTILIDADES DOMESTICAS,13.0,3,6313.030500000001,71.0
432020,VITRINE VER 1P 348L      CV300R M220,N - INDUSTRIAL E NEGOCIOS,13.0,8,89543.05500000001,20.0
432015,CONSERV.HOR 2P 325L      ECH350 M220,N - INDUSTRIAL E NEGOCIOS,13.0,5,251368.173,75.0
420163,LAV.ROUPA 11KG DIG LES11     BR M127,D - ELETROS,13.0,1,658741.6395,363.0
255764,BANHEIRA IMERS.ESM.EUROPA150X70,W - LOUCAS E PIAS,13.0,8,30671.97,15.0
