CODIGO,preco_medio,preco_desvio,preco_min,preco_max,qtd_lojas,amplitude_pct,cv_pct,DESCRICAO,NIVEL_1,receita_total
427734,194.145,16.601957715883994,178.395,209.895,10,16.22,8.55,PLAFON LED RED. MILAO   BR  18W MBIV,I - ILUMINACAO,220193.3615
432121,2333.6918181818182,160.580254378811,2183.895,2561.895,11,16.2,6.88,BACIA KIT COMPL. ELITE            PT,W - LOUCAS E PIAS,279131.685
463479,129.72272727272727,9.809086696435187,114.45,135.45,11,16.19,7.56,CAIXA TERMICA PLS 28.0L VD/MR 072825,"L - INFANTIL, LAZER E PETS",134932.56
466432,149.139375,7.2557393231151845,135.45,159.495,8,16.12,4.87,"REVEST.A 30X90 ARGOS MARFIM MT1,62M2",C - PISOS E REVESTIMENTOS,53661.71916000001
473438,125.0445,4.731205184728304,115.395,135.45,10,16.04,3.78,"PORCEL.A 90X90 EPO.MONTREAL CZ2,40M2",C - PISOS E REVESTIMENTOS,223539.75
373660,59.114999999999995,3.177105601014859,52.395,61.845,10,15.99,5.37,"CER.A 60X60 DUOMO BIANCO EXT. 2,20M2",C - PISOS E REVESTIMENTOS,152986.0101
441072,91.97999999999999,5.048985046521727,83.895,98.595,10,15.98,5.49,"CER.A 10X10 BON.AC HD10080 P4 1,44M2",C - PISOS E REVESTIMENTOS,76850.03088
424117,78.85499999999999,4.194162610104671,73.395,85.995,10,15.98,5.32,"TINT.ACR.SELA.PINTA FC  3,6L BR.NEVE",S - TINTAS E QUIMICOS,135987.6
458349,19.749545454545455,1.1929908938157359,17.745,20.895,11,15.95,6.04,LAMP.LED PAR20 7W  AM           MBIV,I - ILUMINACAO,254633.00100000002
421701,73.08,4.644593631309417,64.995,76.545,10,15.8,6.36,"REVEST.A 37X74 MP37050     RT 1,92M2",C - PISOS E REVESTIMENTOS,56289.542400000006
441069,93.03,6.751462804459489,83.895,98.595,10,15.8,7.26,"CER.A 10X10 ACOCA HD10050  P4 1,44M2",C - PISOS E REVESTIMENTOS,107342.4744
90942,100.1805,5.480702737788287,94.395,110.145,10,15.72,5.47,"TINT.ACR.DELANIL    FC  3,6L BR.NEVE",S - TINTAS E QUIMICOS,291957.75
458947,127.7181818181818,6.046810015507047,125.895,145.95,11,15.7,4.73,LENCOL JG QUEEN ESTAMPADOS     SORT.,"K - CAMA, MESA E BANHO",328579.44
473439,141.1305,6.128588948526403,130.095,152.25,10,15.7,4.34,"PORCEL.A 90X90 EPO.MONTREAL GF2,40M2",C - PISOS E REVESTIMENTOS,253933.344
389291,126.588,7.36252266549991,114.45,134.295,10,15.68,5.82,"PORCEL.A 19X90,2 ESM.SAVANA CA1,03M2",C - PISOS E REVESTIMENTOS,42090.14145
410989,134.862,8.17026254168126,124.95,145.95,10,15.57,6.06,"PORCEL.A 90X90ESM.MUNARI BR EX1,63M2",C - PISOS E REVESTIMENTOS,129641.3328
403671,114.77454545454545,4.306396669226752,104.895,122.745,11,15.55,3.75,FERVEDOR ANTIAD.S/T 14    9295304944,B - UTILIDADES DOMESTICAS,45307.9515
374664,318.675,12.415876932379776,294.945,344.295,10,15.49,3.9,PERSIANA ROLO 140X170  ZEBRA BR B102,V - DECORACAO,80878.14
424119,345.05100000000004,19.966068967125203,313.95,367.395,10,15.49,5.79,"TINT.ACR.SELA.PINTA FC 18,0L BR.NEVE",S - TINTAS E QUIMICOS,165581.85
446660,169.95681818181816,7.255229931824102,163.695,189.945,11,15.45,4.27,"PORCEL.A 60X120ESM.CALI.WH EXT1,44M2",C - PISOS E REVESTIMENTOS,92553.45120000001
479612,68.145,7.424621202458747,62.895,73.395,2,15.41,10.9,"PORCEL.A 60X60 ESM.WOODSTY.EXT1,80M2",C - PISOS E REVESTIMENTOS,61191.774000000005
473503,102.543,4.310602046118386,94.395,110.145,10,15.36,4.2,"PORCEL.A 90X90 ESM.DETRO.GY.EX2,40M2",C - PISOS E REVESTIMENTOS,294871.4244
480255,197.631,12.16871028498912,178.5,208.845,10,15.35,6.16,FITA LED 5M  IP20 6W/M   AM IR80 12V,I - ILUMINACAO,65944.515
470398,143.65050000000002,8.738295171256233,135.45,157.395,10,15.28,6.08,LUSTRE ACO/VID.       1LP CO PDMCOV2,I - ILUMINACAO,143130.12
446334,487.31454545454545,27.204016932665056,450.45,524.895,11,15.28,5.58,BASE MONOC.CHUVEIRO BX/AL PRES 1/2CO,U - METAIS E ACESSORIOS,90506.577
473441,103.614,3.779286969786762,94.395,110.145,10,15.2,3.65,"PORCEL.A 90X90 ESM.DETRO.GY CE2,40M2",C - PISOS E REVESTIMENTOS,340242.5376
471842,124.57772727272727,4.905953201792882,110.145,129.045,11,15.17,3.94,TAPETE BANH. 43X61 DECK      PT 0101,U - METAIS E ACESSORIOS,167620.70500000002
470176,3000.985909090909,131.04556806352102,2771.895,3223.395,11,15.05,4.37,LAV.ROUPA 13.0KG BWK13AB     BR M220,D - ELETROS,8685360.032913849
368185,34.895,2.625000000000002,31.395,36.645,9,15.05,7.52,"CER.A 46X46 PSI66110       P4 2,58M2",C - PISOS E REVESTIMENTOS,236823.24519000002
451804,1263.0068181818183,56.39960958520572,1227.45,1417.395,11,15.04,4.47,GAB BANH VITTA 68X45         CIMENTO,O - MOVEIS,264633.89400000003
480257,153.216,8.997219570511772,139.65,162.645,10,15.01,5.87,FITA LED 5M  IP20 5W/M   AM IR70 12V,I - ILUMINACAO,92469.82500000001
119959,4.2,0.25238858928247915,3.78,4.41,10,15.0,6.01,ADAPTA.CX.ELET.AL    3/4   56251/052,E - MATERIAIS ELETRICOS,83447.945
432017,5253.722727272728,213.3552013821509,4840.395,5627.895,11,14.99,4.06,CONSERV.HOR 2P 468L      ECH500 M220,N - INDUSTRIAL E NEGOCIOS,432025.6605
30503,77.11772727272727,4.955368989104829,73.395,84.945,11,14.98,6.43,CUSCUZEIRA POLIDA    N.16 9295301233,B - UTILIDADES DOMESTICAS,239113.99925000002
393359,98.1855,5.065807191356577,93.345,108.045,10,14.97,5.16,ELETROD.CORRU.  32MM     1  25M   AM,E - MATERIAIS ELETRICOS,69176.975
258513,70.245,5.422176684690384,66.045,76.545,10,14.95,7.72,FECH.EX EM CR  1201       ITALY SOFT,"G - PORTAS, JANELAS E FECHADURAS",425866.1165
439331,70.53136363636364,4.904543348217592,62.895,73.395,11,14.89,6.95,MANTA CASAL MICROF.180X220 SORTIDA 2,"K - CAMA, MESA E BANHO",628166.1073814394
459684,119.322,5.690745996791629,114.45,132.195,10,14.87,4.77,"PORCEL.A 90X90 ESM.VERS.BG SAT2,40M2",C - PISOS E REVESTIMENTOS,204431.34600000002
333146,211.33636363636361,8.996250355261658,187.95,219.345,11,14.86,4.26,FERRO PASSAR VAP. VIAGEM 777 VD MBIV,D - ELETROS,81459.21
258504,56.595000000000006,2.9283100928692654,52.395,60.795,10,14.84,5.17,FECH.WC EM CR  1220       ITALY SOFT,"G - PORTAS, JANELAS E FECHADURAS",163383.255
337895,56.6265,2.605584867165144,51.345,59.745,10,14.83,4.6,"CORAL.LOC DECORA    FC  0,8L BASE MF",S - TINTAS E QUIMICOS,263225.397225
476575,170.1859090909091,7.5980858833596425,167.895,193.095,11,14.81,4.46,LENCOL JG SOLTE DPL ATTUALE   SORT 4,"K - CAMA, MESA E BANHO",203115.0345
382897,63.839999999999996,3.4806967693265114,60.795,70.245,10,14.8,5.45,"PORCEL.A 58X58 EBR.LILLE BRANC1,68M2",C - PISOS E REVESTIMENTOS,105265.1124
258519,56.910000000000004,3.1324511169370233,52.395,60.795,10,14.76,5.5,FECH.IN EM CR  1210       ITALY SOFT,"G - PORTAS, JANELAS E FECHADURAS",270511.16750000004
228445,299.271,17.494665186850533,271.95,315.945,10,14.7,5.85,COLUNA SUSP.CITY          12020 BR01,W - LOUCAS E PIAS,96425.80500000001
189790,1797.304090909091,84.23829835111172,1637.895,1900.395,11,14.61,4.69,FOGAO INDL.6B AP C/PE           VAP6,N - INDUSTRIAL E NEGOCIOS,87071.46
459676,122.2305,4.811819042732175,114.45,132.195,10,14.52,3.94,"REVEST.A 45X90 QUANTUM CARR.LX2,00M2",C - PISOS E REVESTIMENTOS,229387.088
480258,231.02100000000002,12.479235152844893,211.05,244.545,10,14.5,5.4,FITA LED 5M  IP20 10W/M  AM IR70 12V,I - ILUMINACAO,80595.06
471189,43.470000000000006,2.2273863607376265,38.745,45.045,10,14.49,5.12,"CER.A 67X67 NARCISO HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,269597.779605
468647,43.470000000000006,2.2273863607376265,38.745,45.045,10,14.49,5.12,"CER.A 67X67 CRAVO HD RT    P4 2,71M2",C - PISOS E REVESTIMENTOS,310153.58136
468649,43.470000000000006,2.2273863607376265,38.745,45.045,10,14.49,5.12,"CER.A 67X67 PETUNIA HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,158974.015935
471190,43.470000000000006,2.2273863607376265,38.745,45.045,10,14.49,5.12,"CER.A 67X67 NAUTICO HD     P4 2,71M2",C - PISOS E REVESTIMENTOS,394035.421395
481698,3626.222727272727,158.2934559033259,3148.95,3673.95,11,14.48,4.37,TV LED 65 UHD SMT 4K   UN65DU7700GXZ,R - ELETRONICOS,2442761.23735
476717,74.07272727272726,2.9740640238874847,72.345,82.95,11,14.32,4.02,TOALHA BNH VANILLA           RS 1665,"K - CAMA, MESA E BANHO",84115.60500000001
446034,595.3595454545455,29.11831764152468,572.145,657.195,11,14.29,4.89,FECH.DIG.SOB.                 FSP100,"G - PORTAS, JANELAS E FECHADURAS",825412.82425
483611,51.461666666666666,2.1927437150747897,47.145,54.495,9,14.28,4.26,"REVEST.A 30X60 STADIO MATTE   2,37M2",C - PISOS E REVESTIMENTOS,125633.9133
466428,139.251,6.846379335093837,124.95,144.795,10,14.25,4.92,"REVEST.A 10X10 CAPRI MARIN.MT 1,92M2",C - PISOS E REVESTIMENTOS,346685.69376
252754,147.6195,7.900462170025245,135.45,156.45,10,14.23,5.35,"PORCEL.A 60X60 NAT.BIANCO PLS 1,44M2",C - PISOS E REVESTIMENTOS,211983.12576000002
317067,3779.0359090909096,178.13234878620707,3664.5,4199.895,11,14.17,4.71,"BETONEIRA 120L 0,50CV    C/PROT.CREM",M - MAQUINAS E MOTORES,142033.08000000002
489644,20357.48590909091,1248.809969894976,19487.895,22364.895,11,14.13,6.13,TV LED 65 OLED SMT 4K       OLED65C4,R - ELETRONICOS,116194.05
439715,424.872,14.664807874636484,397.95,457.695,10,14.06,3.45,FURAD.3/8 IMP. 05BRC+CX  TM500CB 220,F - FERRAMENTAS,94350.06
361411,636.1281818181818,27.156632640363135,598.5,687.645,11,14.01,4.27,BACIA SNT.ACESSO CONF.S/ABERT.  BR01,W - LOUCAS E PIAS,92447.25
434684,643.839,33.00575343784774,618.45,708.645,10,14.01,5.13,"TINT.ACR.PRO SAUDE  AC 18,0L BR.NEVE",S - TINTAS E QUIMICOS,58163.805
483049,75.02833333333334,3.447100230628637,73.395,83.895,9,13.99,4.59,"PORCEL.C 74X74 ESM.KHALI WH AC1,62M2",C - PISOS E REVESTIMENTOS,497615.8131
468307,225.1677272727273,12.742377400555277,199.395,230.895,11,13.99,5.66,LENCOL JG CASAL DPL CRYSTAL   RISQUE,"K - CAMA, MESA E BANHO",42194.670000000006
372235,450.4404545454545,25.048407679386077,419.895,482.895,11,13.99,5.56,RALO PLS PISO LINEAR SIF. OCUL. 70CM,H - TUBOS E CONEXOES,45429.615
470343,829.395,34.824560298731704,724.395,839.895,11,13.93,4.2,APARADOR SALA 1.20 XEXEU          NT,O - MOVEIS,73356.15
337892,181.0305,7.064531300801203,166.845,192.045,10,13.92,3.9,"CORAL.LOC DECORA    FC  3,2L BASE MF",S - TINTAS E QUIMICOS,892789.6564750001
415628,5.375045454545454,0.30156959847980847,5.2395,5.985,11,13.87,5.61,FACA CHURRASCO LEME (AV) CZ 23180434,B - UTILIDADES DOMESTICAS,50682.99862500001
454887,15.167727272727273,0.7219292334999449,13.545,15.645,11,13.85,4.76,"LAMP.LED MR16 4,0W AM GU10 3000K BIV",I - ILUMINACAO,170414.65000000002
269274,342.7305,15.734471789672517,313.95,361.095,10,13.76,4.59,"TINT.ACR.ACABA.MOFO FC 18,0L BR.NEVE",S - TINTAS E QUIMICOS,212254.182
475768,99.53999999999999,4.548653646959728,94.395,108.045,10,13.71,4.57,"PORCEL.A 74X74 ESM.MUNA.BR EXT1,62M2",C - PISOS E REVESTIMENTOS,258326.99739
487712,146.49,5.804967700168534,136.395,156.45,7,13.69,3.96,"PORCEL.A 120X120 EPO. ARAM.WH 2,88M2",C - PISOS E REVESTIMENTOS,416898.34704
463535,76.895,6.06217782649107,73.395,83.895,3,13.65,7.88,"PORCEL.A 19,5X91,2 ESM.BAL.CAM1,07M2",C - PISOS E REVESTIMENTOS,85412.930295
485638,76.895,6.06217782649107,73.395,83.895,3,13.65,7.88,"PORCEL.C 74X74 ESM.MUNA.BR EXT1,62M2",C - PISOS E REVESTIMENTOS,97937.45640000001
460987,38.535000000000004,1.382389236069205,36.645,41.895,10,13.62,3.59,"CER.A 54X54 PRESTON MRE HD    2,62M2",C - PISOS E REVESTIMENTOS,429181.10746
458798,1088.9454545454546,39.78656183025529,1006.95,1154.895,11,13.59,3.65,FOGAO PISO 4B CARIBE 4112    PT MBIV,D - ELETROS,359312.5725
337909,735.525,27.617639290859003,708.645,808.395,10,13.56,3.75,"CORAL.LOC DECORA    FC 16,0L BASE MF",S - TINTAS E QUIMICOS,595538.35425
461004,38.745,1.3095800853708797,36.645,41.895,10,13.55,3.38,"REVEST.A 37X59 OHIO BEIGE HD  2,43M2",C - PISOS E REVESTIMENTOS,414361.97554500005
479530,101.01,3.8990062836574126,91.245,104.895,10,13.51,3.86,"PORCEL.A 60X60 ESM.AREST.SATIN2,20M2",C - PISOS E REVESTIMENTOS,202184.0436
398997,38.93590909090909,2.4766729882867233,36.645,41.895,11,13.48,6.36,MULTIMETRO DIGITAL 1000V        8522,E - MATERIAIS ELETRICOS,171761.26275
446287,156.23999999999998,4.99409651488635,145.95,166.95,10,13.44,3.2,"PORCEL.A 90X90 ESM.LIGHT M.WH1,60M2",C - PISOS E REVESTIMENTOS,63748.7088
