CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
459556,"PORCEL.A 60X120 ESM.MARM.CETIM2,20M2",C - PISOS E REVESTIMENTOS,847.0,76538.8701,68,7
403651,FRIGIDEIRA ANTIAD.26CM FRANCESA 4931,B - UTILIDADES DOMESTICAS,772.0,76350.33,650,8
475552,TOALHA BANHAO SOLARE         PT  900,"K - CAMA, MESA E BANHO",1697.0,76308.35975,914,9
489215,"FRITAD.ELET.   3,2 ESSENTIAL PT M127",D - ELETROS,309.0,76239.352,120,3
470560,LUSTRE LED 3EM1 36W  DO LP-700D 5815,I - ILUMINACAO,156.0,76238.82,133,9
457877,TAPETE BANH. 40X60 TAPBA07A  SORTIDO,U - METAIS E ACESSORIOS,2327.0,76214.04000000001,900,8
488473,RACK TV 1.40X0.58 PALADIO         BR,O - MOVEIS,213.0,76092.135,137,11
437527,PERSIANA ROLO 160X140 TRANSLUC 869BR,V - DECORACAO,323.0,76042.89,251,8
489208,CADEIRA SALA LINHO MAD 3285  BG 2564,O - MOVEIS,176.0,76001.52,34,3
451198,TOALHA JG 2PC NARA            BR 403,"K - CAMA, MESA E BANHO",2177.0,75694.10310000001,603,9
471796,REFLETOR LED AL.50W          5956 VD,I - ILUMINACAO,1751.0,75541.9525,659,9
461592,BISTEQUEIRA AL/CER.28CM  PT 4813/353,B - UTILIDADES DOMESTICAS,489.0,75328.89,378,9
446573,BUFFET 0.90X0.87 2P PARMA    AMD/OFF,O - MOVEIS,126.0,75190.815,107,11
428358,MAO FRANCESA ACO 38CM FORTE       BR,Q - BASICOS CONSTRUCAO,4063.0,75181.785,1031,9
366457,CUBA LOC.SOB/EMB.39X31 RET.     BR01,W - LOUCAS E PIAS,414.0,75129.91500000001,279,9
459054,"PERFIL EMB.BR 2,0M  FIUU     14X11MM",I - ILUMINACAO,524.0,75004.545,212,7
461284,FILTRO GABINETE E-DUE FREED. BR MBIV,D - ELETROS,88.0,74858.7,76,7
461285,FILTRO GABINETE E-DUE FREED. GF MBIV,D - ELETROS,87.0,74831.085,79,7
446060,"PORCEL.A 82X82 ESM.DREAM CETIM2,00M2",C - PISOS E REVESTIMENTOS,916.0,74687.676,65,8
407852,ESPREM.FRUTAS  30W      E-02 PT M220,D - ELETROS,742.0,74642.19,560,7
424124,"TINT.ACR.SELA.PINTA FC 18,0L BR.GELO",S - TINTAS E QUIMICOS,221.0,74624.13,163,9
457285,APARADOR SALA 0.91 DENVER     OFF/NT,O - MOVEIS,141.0,74604.59999999999,127,11
229499,TORNEIRA LAVA.MESA CR ECONO.C23 1193,U - METAIS E ACESSORIOS,943.0,74536.539,646,9
440056,"PORCEL.A 60X120 ESM.PIET.BG EX2,20M2",C - PISOS E REVESTIMENTOS,664.4,74483.409,51,6
446684,MESA 1.20X0.78 RET. IPE          OFF,O - MOVEIS,88.0,74114.45999999999,83,10
467255,VENT.COL 40CM 3V VTX-40C  PT/AZ M127,D - ELETROS,266.0,74109.568225,115,2
430087,"PORCEL.A 120X120 ESM.MUNAR.CI.1,44M2",C - PISOS E REVESTIMENTOS,452.16,74100.096,26,5
373841,"PIA IX    1C 1,50   FC S/V 93042/526",W - LOUCAS E PIAS,131.0,73996.545,124,9
403652,FRIGIDEIRA ANTIAD.28CM FRANCESA 4932,B - UTILIDADES DOMESTICAS,692.0,73935.54000000001,582,9
453612,ROUPEIRO 1.48 4P/AB/4G CASINHA FD/NT,O - MOVEIS,45.0,73819.83,43,4
427187,PISO FELP.CHEVRON 60X50      AZ 5601,"K - CAMA, MESA E BANHO",4572.0,73658.8965,2009,9
450273,MASCARA RESP.DESC.S/VALV. PFF2  9823,Y - EPI,5296.0,73582.103,1622,9
189137,TOM.MOD.1M 2P+T 10A  SN4165S BR LLIG,E - MATERIAIS ELETRICOS,1377.0,73543.365,267,6
470343,APARADOR SALA 1.20 XEXEU          NT,O - MOVEIS,101.0,73356.15,93,11
167484,LAVAT.LOC.P/COL.FIT 52X43 66006 BR01,W - LOUCAS E PIAS,205.0,73343.2875,133,9
403394,FITA LED 5M  IP20 10W/M  BR IR70 12V,I - ILUMINACAO,447.0,73305.54000000001,222,6
469231,GARRAFA AGUA VID.1.0L C/T      26621,B - UTILIDADES DOMESTICAS,2499.0,73295.4425,995,9
260321,"TINT.ESM.DIAL.B.AGUA BR 3,6L PLATINA",S - TINTAS E QUIMICOS,512.0,73078.53,305,9
403413,FITA LED 5M  IP20 5W/M   NE IR70 12V,I - ILUMINACAO,629.0,72667.875,301,8
454603,BACIA PLS 19.5L              RS 3079,B - UTILIDADES DOMESTICAS,1950.0,72554.8005,1331,9
467612,AP.JANTAR PORC.20PC ROSE HO   589008,B - UTILIDADES DOMESTICAS,188.0,72289.4165,147,9
444185,OLEO LUBR.SINT.HAV.      SN 5W20 1LT,A - AUTOMOTIVO,988.0,72280.614,247,6
475775,"PORCEL.A 74X74 EPO.KHALI GRIS 1,62M2",C - PISOS E REVESTIMENTOS,701.46,72012.5154,44,4
459105,TOALHA JG 2PC FLORE. CINTA ROSA ROMA,"K - CAMA, MESA E BANHO",1252.0,71966.391,695,9
430293,ARMARIO AEREO 0.80 2P FRJ/GRF 500340,O - MOVEIS,133.0,71767.99,98,11
464139,COLCHA SOLTE+P.TRAV 2PC STUDIO SORT2,"K - CAMA, MESA E BANHO",728.0,71689.275,512,9
260322,"TINT.ESM.DIAL.B.AGUA BR 3,6L   PRETO",S - TINTAS E QUIMICOS,512.0,71684.71800000001,319,9
431545,BUFFET 1.12X0.41 2P 1G CLOE   NT/OFF,O - MOVEIS,110.0,71659.14,103,11
406821,NICHO 0.25X0.09 MDF KIT 3PC       PT,O - MOVEIS,906.0,71609.68500000001,732,9
483560,CORTINA 420X250 RUSTICA FEN   LNH/TT,V - DECORACAO,288.0,71602.96500000001,187,9
459053,"PERFIL EMB.BR 3,0M  FIUU     14X11MM",I - ILUMINACAO,367.0,71579.235,153,7
467235,TAPETE SALA 200X250 RELEX N    AREIA,V - DECORACAO,50.0,71414.23800000001,49,8
349253,"CER.A 46X46 PSI62680       P5 2,58M2",C - PISOS E REVESTIMENTOS,2667.72,71374.2939,112,9
428421,MAO FRANCESA ACO 23CM FORTE       BR,Q - BASICOS CONSTRUCAO,6733.0,71247.3335,1364,9
468001,BANQUETA PLS ICARAI               TC,O - MOVEIS,1891.0,71055.19750000001,661,9
482286,CAMERA SEG.S/FIO WI-FI HD     C2C BR,R - ELETRONICOS,345.0,71001.80500000001,207,7
461396,COLCHA CASAL+P.TRAV 3PC JASMINE   GF,"K - CAMA, MESA E BANHO",543.0,70980.21,415,9
481581,ESTANTE 0.96X1.82 PRESENCE        NG,O - MOVEIS,158.0,70969.815,112,11
419438,ARAND.LED PSL.   PT 3W QD   BR 18550,I - ILUMINACAO,1023.0,70776.93000000001,334,9
341628,FORNO INDL. GAS ROMA      IX FIRI110,N - INDUSTRIAL E NEGOCIOS,24.0,70681.59,23,9
475576,MANTA INF. 150X200 SHINE       SORT1,"L - INFANTIL, LAZER E PETS",1048.0,70573.49250000001,682,9
409247,LUSTRE LED 3EM1 35W  CR   LP-01 3014,I - ILUMINACAO,96.0,70410.312,91,9
464039,FRIGOBAR 67L MDRD108FGA011   BR M127,D - ELETROS,51.0,70358.05350000001,50,3
387519,INSTAL.KIT AQUEC.AGUA/GAS 40CM  7413,U - METAIS E ACESSORIOS,175.0,70293.51,162,9
458438,COND.SPLIT 9000 EVAP.VUFI09      125,D - ELETROS,103.0,70197.204,53,10
439424,"REVEST.A 32X60 CHARME DECOR   2,30M2",C - PISOS E REVESTIMENTOS,1124.7,70196.2737,107,8
458852,LENCOL JG SOLTE ESSENCIALE    SORT.1,"K - CAMA, MESA E BANHO",643.0,69947.7135,427,9
479084,CORTINA 240X170 RUST S.FRAN   BG/LNH,V - DECORACAO,769.0,69824.05500000001,428,9
263337,"LIQUID.INDL 4,0L 1/2HP  LS04MBN M220",N - INDUSTRIAL E NEGOCIOS,53.0,69778.8,50,9
456384,TACA AGUA/VINHO VID. 610ML   1080823,B - UTILIDADES DOMESTICAS,3288.0,69729.88575,752,9
461883,FORNO MICR.21L 700W ST25LWR  BR M127,D - ELETROS,92.0,69727.2555,70,3
457279,PAINEL TV 2.18 WALL LIMIT         NT,O - MOVEIS,102.0,69677.475,95,10
