CODIGO,DESCRICAO,NIVEL_1,demanda_projetada_2026,vendido_24_meses,venda_media_anual_historica,crescimento_pct_vs_media_historica,venda_media_diaria_2026,estoque_seguranca_30d,estoque_inicial_total_referencia,sugestao_compra_2026
465268,PANO COPA P/BORDAR VIGO         7141,"K - CAMA, MESA E BANHO",161.2620657647842,1694.0,847.0,-81.0,0.44181387880762796,13.254416364228838,307.0,175.0
479942,TACA CERVEJA VID.390ML       1097739,B - UTILIDADES DOMESTICAS,160.01769358688574,1066.0,533.0,-70.0,0.43840463996407053,13.152139198922116,0.0,173.0
472144,PRATO FUND.CER.21CM        RS 101406,B - UTILIDADES DOMESTICAS,159.8996067917801,1772.0,886.0,-82.0,0.4380811144980276,13.142433434940829,1659.0,173.0
442523,"PORCEL.A 60X120 ESM.IRON EXT  1,44M2",C - PISOS E REVESTIMENTOS,159.51121293097586,1954.08,977.04,-83.7,0.437017021728701,13.11051065186103,525.6,173.0
477293,PAINEL TV 1.36 C/NICHO VEGAS OFF/NT,O - MOVEIS,159.44673650000743,274.0,137.0,16.4,0.4368403739726231,13.105211219178694,0.0,173.0
468909,TOALHA RST LUMINA          IVORY 112,"K - CAMA, MESA E BANHO",159.399652026954,719.0,359.5,-55.7,0.4367113754163123,13.101341262489369,75.0,173.0
478568,JARRA/MORINGA VID.500ML        20519,B - UTILIDADES DOMESTICAS,159.22574736749544,547.0,273.5,-41.8,0.43623492429450805,13.087047728835241,0.0,172.0
470178,LAV.ROUPA 13.0KG BWK13A9     PR M220,D - ELETROS,159.01170872682218,191.0,95.5,66.5,0.4356485170597868,13.069455511793604,38.0,172.0
462805,DISJ.BIPO.C DIN 10A        GII-C010A,E - MATERIAIS ELETRICOS,158.4152273000961,444.0,222.0,-28.6,0.4340143213701263,13.020429641103789,71.0,171.0
477700,POTE VID.300ML C/T            103015,B - UTILIDADES DOMESTICAS,156.43603809188778,1140.0,570.0,-72.6,0.4285918851832542,12.857756555497627,0.0,169.0
440063,"REVEST.A 45X90 FOLHAS BIANCO  2,00M2",C - PISOS E REVESTIMENTOS,156.35897152675705,3660.0,1830.0,-91.5,0.4283807439089234,12.851422317267701,632.0,169.0
439244,LIQUID.5V 1200W    RI2240/90 PT M220,D - ELETROS,155.7423863897638,461.0,230.5,-32.4,0.4266914695609967,12.800744086829901,0.0,169.0
