CODIGO,DESCRICAO,NIVEL_1,motivo,receita,qtd_vendida
403810,XICARA CHA CER.C/P GRECIA  AE04-5108,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6437.34,242.0
464243,PISO JACQUARD LOFT 60X50      VD 479,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,6525.12,346.0
246706,PORTA-LAMP.FLUO.ANTIVIB.          88,I - ILUMINACAO,Receita irrisoria + estoque parado,6545.595,592.0
433274,COLHER MESA (AV) ELEMENTOS BR 101111,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6554.961000000001,1360.0
351416,PRATO RASO CER.26CM S.LUIS J084-6779,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6566.175,215.0
399361,SUPORTE TACA SUSPENSO FIXO   BR 0004,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6611.430000000001,94.0
392398,PRATO SMES.CER.20CM L.CARRETA   6788,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6619.62,286.0
465256,TOALHA MESA 078X078 LUNA       26998,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,6620.5650000000005,187.0
30414,UNIAO CPVC                      28MM,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,6640.515,283.0
461653,MODULO CEGO 1S              LG000 BR,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,6684.9195,1136.0
351418,PRATO SMES.CER.20CM S.LUIS J069-6779,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6692.385,295.0
319872,RESIST.SQUA/QUAD/POLO 7700W 028 M220,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,6702.675,145.0
464235,TOALHA RST VERONA             GF 350,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,6703.515,397.0
304277,PROLONGADOR P/ DUCHA HYDRA   516 3/4,J - JARDINAGEM,Receita irrisoria + estoque parado,6712.86,528.0
435142,GUARDANAPO TEC.GOURMET PETALA3678408,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6716.382750000001,466.0
468832,ESPATULA SILIC.27CM PANTONE AZ 15019,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6723.57,316.0
429475,INT.INTERM.CJ.1I  10A   LGX020IN POP,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,6748.14,182.0
462419,DISPOSIT.SURTO ELET.2P+T 4X2 20A  PT,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,6790.56,238.0
301244,RESIST.SPOT           6800W 249 M220,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,6792.974999999999,165.0
118126,ASSADEIRA REFRAT.02PC RETANG.   1512,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6799.4115,67.0
177360,TUBO P/VALVULA DESCARGA           BR,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,6863.668000000001,885.0
459668,FORMA FRITAR OVO SILIC. CORACAO H337,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6866.223,815.0
458453,LUSTRE PLS.SIDES AM 1LP    140270000,I - ILUMINACAO,Receita irrisoria + estoque parado,6911.1,275.0
