COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
8,399366,745.0,1752.0,2.4,310.4166666666667,PAPELEIRA SUSPENSA 2ROLOS BR    0077,U - METAIS E ACESSORIOS,Caruaru,PE
2,466807,741.0,775.0,1.0616438356164384,697.9741935483871,TOALHA JG 2PC PIXEL CINTA ROSA  3364,"K - CAMA, MESA E BANHO",Recife,PE
3,463535,738.3,1103.17,1.511191780821918,488.55480116391846,"PORCEL.A 19,5X91,2 ESM.BAL.CAM1,07M2",C - PISOS E REVESTIMENTOS,Salvador,BA
4,258519,736.0,1120.0,1.5342465753424657,479.7142857142857,FECH.IN EM CR  1210       ITALY SOFT,"G - PORTAS, JANELAS E FECHADURAS",Recife,PE
7,455048,733.0,320.0,0.4383561643835616,1672.15625,LAMP.LED  BULBO KIT03 7W BR E27 MBIV,I - ILUMINACAO,Natal,RN
6,92444,733.0,305.0,0.4178082191780822,1754.3934426229507,ACAB.REG.C40 4900 TARGA        CR/PQ,U - METAIS E ACESSORIOS,Joao Pessoa,PB
92,471189,731.7,5.42,0.007424657534246575,98550.00000000001,"CER.A 67X67 NARCISO HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,Cabo De Santo Agostinho,PE
4,466807,731.0,738.0,1.010958904109589,723.0758807588077,TOALHA JG 2PC PIXEL CINTA ROSA  3364,"K - CAMA, MESA E BANHO",Recife,PE
4,431654,730.0,488.0,0.6684931506849315,1092.0081967213114,TAPETE BANH.TEC.050X070 DALLAS SORT2,U - METAIS E ACESSORIOS,Recife,PE
4,432460,721.0,1357.0,1.858904109589041,387.8629329403095,CANECA CER.280ML           AM 075972,B - UTILIDADES DOMESTICAS,Recife,PE
5,473269,720.0,720.0,0.9863013698630136,730.0,DESCANSO PRATO/PAN.BAMBU        6172,B - UTILIDADES DOMESTICAS,Aracaju,SE
92,353719,720.0,0.0,0.0,inf,TAPETE BANH.PLS 61X36CM J-6136 AZ,U - METAIS E ACESSORIOS,Cabo De Santo Agostinho,PE
4,464394,719.0,995.0,1.3630136986301369,527.5075376884422,SACO LIXO 30L ROLO        PT/50 4862,B - UTILIDADES DOMESTICAS,Recife,PE
8,462852,715.0,2421.0,3.3164383561643835,215.59273027674516,DISJ.UNIP.C DIN  20A       GII-C020A,E - MATERIAIS ELETRICOS,Caruaru,PE
7,439331,708.0,959.0,1.3136986301369864,538.9363920750782,MANTA CASAL MICROF.180X220 SORTIDA 2,"K - CAMA, MESA E BANHO",Natal,RN
7,439683,705.0,2417.0,3.3109589041095893,212.9292511377741,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,Natal,RN
4,472136,705.0,939.0,1.2863013698630137,548.0830670926517,PRATO FUND.CER.21CM           074208,B - UTILIDADES DOMESTICAS,Recife,PE
6,431261,704.0,862.0,1.180821917808219,596.1948955916474,"REVEST.A 10X20 BRK20010       2,00M2",C - PISOS E REVESTIMENTOS,Joao Pessoa,PB
1,446526,702.16,1385.98,1.8986027397260274,369.8298676748582,"CER.A 54X54 FREMONT HD     P4 2,62M2",C - PISOS E REVESTIMENTOS,Garanhuns,PE
